汉字,漢越語,IPA
雱,Bàng,ba:ŋ2
雲,Vân,vɤn1
靮,Đích,diʧ7
韌,Nhận,ɲɤn6
項,Hạng,ha:ŋ6
順,Thuận,t'wɤn6
頇,Han,ha:n1
須,Tu,tu1
飧,Tôn,ton1
飩,Đồn,don2
飪,Nhẫm,ɲɤm4
飫,Ứ,ɯ5
飭,Sức,ʂɯk7
飯,Phãn,fa:n4
飯,Phạn,fa:n6
飲,Ẩm,ɤm3
飲,Ấm,ɤm5
馭,Ngự,ŋɯ6
馮,Phùng,fuŋ2
馮,Bằng,baŋ2
骫,Ủy,wi3
骭,Cán,ka:n5
黍,Thử,t'ɯ3
黑,Hắc,hak7
黹,Chỉ,tʂi3
鼎,Đỉnh,diɲ3
亂,Loạn,lwa:n6
亶,Đản,da:n3
催,Thôi,t'oj1
傭,Dong,zɔŋ1
傯,Tổng,toŋ3
傳,Truyền,tʂwien2
傳,Truyện,tʂwien6
傳,Truyến,tʂwien5
傴,Ủ,u3
債,Trái,tʂa:j5
傷,Thương,t'ɯɤŋ1
傺,Sế,ʂe5
傻,Sọa,ʂwa:6
傾,Khuynh,xwiɲ1
僂,Lũ,lu4
僅,Cận,kɤn6
僇,Lục,luk8
僉,Thiêm,t'iem1
像,Tượng,tɯɤŋ6
剸,Chuyên,tʂwien1
剸,Chuyển,tʂwien3
剺,Li,li1
剽,Phiếu,fiew5
剿,Tiễu,tiew4
勠,Lục,luk8
勢,Thế,t'e5
勣,Tích,tiʧ7
勤,Cần,kɤn2
勦,Tiễu,tiew4
匯,Hối,hoj5
嗁,Đề,de2
嗃,Hao,ha:w1
嗃,Hạc,ha:k8
嗄,Hạ,ha:6
嗄,Sá,ʂa:5
嗅,Khứu,xɯw5
嗇,Sắc,ʂak7
嗉,Tố,to5
嗌,Ách,a:ʧ7
嗑,Hạp,ha:p8
嗒,Tháp,t'a:p7
嗔,Sân,ʂɤn1
嗔,Điền,dien2
嗚,Ô,o1
嗛,Khiểm,xiem3
嗜,Thị,t'i6
嗣,Tự,tɯ6
嗤,Xuy,swi1
嗥,Hào,ha:w2
嗷,Ngao,ŋa:w1
嗸,Ngao,ŋa:w1
嘩,Hoa,hwa:1
園,Viên,vien1
圓,Viên,vien1
塋,Doanh,zwa:ɲ1
塍,Thăng,t'aŋ1
塏,Khải,xa:j3
塑,Tố,to5
塒,Thì,t'i2
塗,Đồ,do2
塘,Đường,dɯɤŋ2
塚,Trủng,tʂuŋ3
塞,Tắc,tak7
塞,Tái,ta:j5
塢,Ổ,o3
塤,Huân,hwɤn1
填,Điền,dien2
墓,Mộ,mo6
壼,Khổn,xon3
夢,Mộng,moŋ6
媲,Bễ,be4
媵,Dắng,zaŋ5
媸,Xuy,swi1
媼,Ảo,a:w3
媽,Ma,ma:1
媾,Cấu,kɤw5
嫁,Giá,ʑa:5
嫄,Nguyên,ŋwien1
嫉,Tật,tɤt8
嫋,Niệu,niew6
嫌,Hiềm,hiem2
嫫,Mô,mo1
嬋,Thiền,t'ien2
寘,Trí,tʂi5
寞,Mịch,miʧ8
尟,Tiển,tien3
尲,Giam,ʑa:m1
嵩,Tung,tuŋ1
幌,Hoảng,hwan:ŋ3
幕,Mạc,ma:k8
幹,Cán,ka:n5
廈,Hạ,ha:6
廉,Liêm,liem1
廌,Trĩ,tʂi4
廌,Trãi,tʂa:j4
廓,Khuếch,xweʧ7
廕,Ấm,ɤm5
弒,Thí,t'i5
彀,Cấu,kɤw5
彙,Vị,vi6
徬,Bạng,ba:ŋ6
微,Vi,vi1
徯,Hề,he2
想,Tưởng,tɯɤŋ3
愁,Sầu,ʂɤw2
愆,Khiên,xien1
愈,Dũ,zu4
愍,Mẫn,mɤn4
意,Ý,i5
愚,Ngu,ŋu1
愛,Ái,a:j5
感,Cảm,ka:m3
愴,Sảng,ʂa:ŋ3
愷,Khải,xa:j3
愾,Hi,hi1
愾,Khái,xa:j5
慄,Lật,lɤt8
慆,Thao,t'a:w1
慈,Từ,tɯ2
慊,Khiểm,xiem3
慍,Uấn,wɤn5
慎,Thận,t'ɤn6
慥,Tháo,t'a:w5
揅,Nghiên,ŋien1
揫,Thu,t'u1
搆,Cấu,kɤw5
搉,Giác,ʑa:k7
搉,Xác,sa:k7
搊,Xâu,sɤw1
損,Tổn,ton3
搏,Bác,ba:k7
搒,Bang,ba:ŋ1
搕,Khạp,xa:p8
搖,Dao,za:w1
搗,Đảo,da:w3
搢,Tấn,tɤn5
搤,Ách,a:ʧ7
搦,Nạch,na:ʧ8
搨,Tháp,t'a:p7
搪,Đường,dɯɤŋ2
搲,Oa,wa:1
搵,Uấn,wɤn5
搶,Thương,t'ɯɤŋ1
搶,Thưởng,t'ɯɤŋ3
携,Huề,hwe2
摛,Si,ʂi1
摸,Mạc,ma:k8
摸,Mô,mo1
敭,Dương,zɯɤŋ1
斒,Ban,ba:n1
斟,Châm,tʂɤm1
新,Tân,tɤn1
旒,Lưu,lɯw1
旓,Sao,ʂa:w1
暄,Huyên,hwien1
暇,Hạ,ha:6
暈,Vựng,vɯŋ6
暉,Huy,hwi1
暋,Mẫn,mɤn4
暍,Yết,iet7
暍,Hát,ha:t7
暖,Noãn,nwa:n4
暗,Ám,a:m5
暘,Dương,zɯɤŋ1
會,Hội,hoj6
會,Cối,koi5
椳,Ôi,oj1
椶,Tông,toŋ1
椷,Giam,ʑa:m1
椷,Hàm,ha:m2
椸,Di,zi1
椹,Châm,tʂɤm1
椽,Chuyên,tʂwien1
椿,Xuân,swɤn1
楂,Tra,tʂa1
楄,Biên,bien1
楊,Dương,zɯɤŋ1
楓,Phong,fɔŋ1
楔,Tiết,tiet7
楘,Mộc,mok8
楙,Mậu,mɤw6
楚,Sở,ʂɤ:3
楝,Luyện,lwien6
楞,Lăng,laŋ1
楠,Nam,na:m1
楢,Do,zɔ1
楣,Mi,mi1
楦,Tuyên,twien1
楨,Trinh,tʂiɲ1
楫,Tiếp,tiep7
楬,Kiệt,kiet8
業,Nghiệp,ŋiep8
楯,Thuẫn,t'wɤn4
楷,Giai,ʑa:j1
楷,Khải,xa:j3
楸,Thu,t'u1
楹,Doanh,zwa:ɲ1
概,Khái,xa:j5
榆,Du,zu1
榘,Củ,ku3
榾,Cốt,kot7
槌,Chùy,tʂwi2
槎,Tra,tʂa1
槐,Hòe,hwɛ2
歃,Sáp,ʂa:p7
歆,Hâm,hɤm1
歇,Hiết,hiet7
歈,Du,zu1
歌,Ca,ka:1
歱,Chủng,tʂuŋ3
歲,Tuế,twe5
殿,Điện,dien6
毀,Hủy,hwi3
毹,Du,zu1
溏,Đường,dɯɤŋ2
源,Nguyên,ŋwien1
準,Chuẩn,tʂwɤn3
溘,Khạp,xa:p8
溝,Câu,kɤw1
溟,Minh,miɲ1
溢,Dật,zɤt8
溥,Phổ,fo3
溧,Lật,lɤt8
溪,Khê,xe1
溫,Ôn,on1
溯,Tố,to5
溱,Trăn,tʂan1
溶,Dong,zɔŋ1
溷,Hỗn,hon4
溺,Nịch,niʧ8
溼,Thấp,t'ɤp7
溽,Nhục,ɲuk8
滂,Bàng,ba:ŋ2
滃,Ổng,oŋ3
滄,Thương,t'ɯɤŋ1
滅,Diệt,ziet8
滇,Điền,dien2
滈,Hao,ha:w1
滉,Hoảng,hwan:ŋ3
滌,Địch,diʧ8
滏,Phũ,fu4
滓,Chỉ,tʂi3
滔,Thao,t'a:w1
漓,Li,li1
漠,Mạc,ma:k8
漣,Liên,lien1
煆,Hạ,ha:6
煉,Luyện,lwien6
煌,Hoàng,hwan:ŋ2
煎,Tiên,tien1
煏,Phức,fɯk7
煒,Vĩ,vi4
煖,Huyên,hwien1
煖,Noãn,nwa:n4
煙,Yên,ien1
煜,Dục,zuk8
煞,Sát,ʂa:t7
煠,Diếp,ziep7
煠,Sáp,ʂa:p7
煢,Quỳnh,kwiɲ2
煤,Môi,moj1
煥,Hoán,hwa:n5
煦,Hú,hu5
照,Chiếu,tʂiew5
煨,Ổi,oj3
煩,Phiền,fien2
煬,Dương,zɯɤŋ1
煬,Dượng,zɯɤŋ6
牏,Du,zu1
牐,Sáp,ʂa:p7
牒,Điệp,diep8
犎,Phong,fɔŋ1
猷,Du,zu1
猺,Dao,za:w1
猻,Tôn,ton1
猿,Viên,vien1
獅,Sư,ʂɯ1
獒,Ngao,ŋa:w1
琿,Hồn,hon2
瑀,Vũ,vu4
瑁,Mội,moj6
瑁,Mạo,ma:w6
瑄,Tuyên,twien1
瑋,Vĩ,vi4
瑑,Triện,tʂien6
瑕,Hà,ha:2
瑗,Viện,vien6
瑙,Não,na:w4
瑚,Hồ,ho2
瑚,Hô,ho1
瑜,Du,zu1
瑞,Thụy,t'wi6
瑟,Sắt,ʂat5
瑰,Khôi,xoj1
瑰,Côi,koi1
甃,Trứu,tʂɯw5
甄,Chân,tʂɤn1
當,Đang,da:ŋ1
當,Đáng,da:ŋ5
畸,Ki,ki1
畹,Uyển,wien3
痰,Đàm,da:m2
痱,Phỉ,fi3
痲,Ma,ma:1
痳,Lâm,lɤm1
痴,Si,ʂi1
痹,Tí,ti5
痼,Cố,ko5
痿,Nuy,nwi1
瘀,Ứ,ɯ5
瘁,Tụy,twi6
瘃,Chúc,tʂuk7
瘏,Đồ,do2
皙,Tích,tiʧ7
盞,Trản,tʂa:n3
盟,Minh,miɲ1
睚,Nhai,ɲa:j1
睛,Tinh,tiɲ1
睜,Tĩnh,tiɲ4
睞,Lãi,la:j4
睟,Túy,twi5
睡,Thụy,t'wi6
睢,Tuy,twi1
督,Đốc,dok7
睥,Bễ,be4
睦,Mục,muk8
睨,Nghễ,ŋe4
睪,Dịch,ziʧ8
睫,Tiệp,tiep8
睬,Thải,t'a:j3
睹,Đổ,do3
矮,Ải,a:j3
碇,Đĩnh,diɲ4
碌,Lục,luk8
碍,Ngại,ŋa:j6
碎,Toái,twa:j5
碑,Bi,bi1
碓,Đối,doj5
碔,Vũ,vu4
碗,Oản,wa:n3
碛,Thích,t'iʧ7
禁,Câm,kɤm1
禁,Cấm,kɤm5
禊,Hễ,he4
禋,Nhân,ɲɤn1
禎,Trinh,tʂiɲ1
福,Phúc,fuk7
禔,Đề,de2
禕,Y,i1
禖,Môi,moj1
禘,Đế,de5
稔,Nhẫm,ɲɤm4
稗,Bại,ba:j6
稚,Trĩ,tʂi4
稜,Lăng,laŋ1
稞,Khoa,xwa:1
稟,Bẩm,bɤm3
稠,Trù,tʂu2
窞,Đạm,da:m6
窟,Quật,kwɤt8
窠,Khoa,xwa:1
窣,Tốt,tot7
窩,Oa,wa:1
竪,Thụ,t'u6
筠,Quân,kwɤn1
筤,Lang,la:ŋ1
筦,Quản,kwa:n3
筧,Kiển,kien3
筩,Đồng,doŋ2
筭,Toán,twa:n5
筮,Thệ,t'e6
筯,Trợ,tʂɤ:6
筰,Tạc,ta:k8
筱,Tiểu,tiew3
筲,Sao,ʂa:w1
筴,Sách,ʂa:ʧ7
筴,Giáp,ʑa:p7
節,Tiết,tiet7
粮,Lương,lɯɤŋ1
粰,Phu,fu1
粱,Lương,lɯɤŋ1
粲,Xán,sa:n5
粳,Canh,ka:ɲ1
粵,Việt,viet8
絹,Quyên,kwien1
絺,Hi,hi1
綃,Tiêu,tiew1
綆,Cảnh,ka:ɲ3
綈,Đề,de2
綌,Khích,xiʧ7
綍,Phất,fɤt7
綏,Tuy,twi1
經,Kinh,kiɲ1
罨,Yểm,iem3
罩,Tráo,tʂa:w5
罪,Tội,toj6
罭,Vực,vɯk8
置,Trí,tʂi5
署,Thự,t'ɯ6
羣,Quần,kwɤn2
羨,Tiện,tien6
義,Nghĩa,ŋie4
耡,Sừ,ʂɯ2
聖,Thánh,t'a:ɲ5
聘,Sính,ʂiɲ5
肄,Dị,zi6
肅,Túc,tuk7
肆,Tứ,tɯ5
腠,Thấu,t'ɤw5
腥,Tinh,tiɲ1
腦,Não,na:w4
腩,Nạm,na:m6
腫,Thũng,t'uŋ4
腮,Tai,ta:j1
腯,Đột,dot8
腰,Yêu,iew1
腳,Cước,kɯɤk7
腷,Phức,fɯk7
腸,Tràng,tʂa:ŋ2
腹,Phúc,fuk7
腿,Thối,t'oj5
舅,Cữu,kɯw4
與,Dư,zɯ1
與,Dữ,zɯ4
與,Dự,zɯ6
蒓,Thuần,t'wɤn2
蒔,Thì,t'i2
蒙,Mông,moŋ1
蒜,Toán,twa:n5
蒞,Lị,li6
蒟,Củ,ku3
蒡,Bàng,ba:ŋ2
蒡,Báng,ba:ŋ5
蒨,Thiến,t'ien5
蒯,Khoái,xwa:j5
蒱,Bồ,bo2
蒲,Bồ,bo2
蒴,Sóc,ʂɔk7
蒸,Chưng,tʂɯŋ1
蒹,Kiêm,kiem1
蒺,Tật,tɤt8
蒻,Nhược,ɲɯɤk8
蒼,Thương,t'ɯɤŋ1
蒿,Hao,ha:w1
蓀,Tôn,ton1
蓁,Trăn,tʂan1
蓂,Minh,miɲ1
蓄,Súc,ʂuk7
蓆,Tịch,tiʧ8
蓉,Dung,zuŋ1
蓊,Ống,oŋ5
蓋,Cái,ka:j5
蓍,Thi,t'i1
蓏,Lỏa,lwa:3
蓐,Nhục,ɲuk8
蓑,Toa,twa:1
蓓,Bội,boj6
蓧,Điệu,diew6
蓬,Bồng,boŋ2
蓮,Liên,lien1
蓽,Tất,tɤt7
蔭,Ấm,ɤm5
虜,Lỗ,lo4
虞,Ngu,ŋu1
號,Hào,ha:w2
號,Hiệu,hiew6
虡,Cự,kɯ6
蛸,Sao,ʂa:w1
蛹,Dũng,zuŋ4
蛺,Kiệp,kiep8
蛻,Thuế,t'we5
蛾,Nga,ŋa:1
蜂,Phong,fɔŋ1
蜃,Thận,t'ɤn6
蜆,Hiện,hien6
蜇,Triết,tʂiet7
蜈,Ngô,ŋo1
蜉,Phù,fu2
蜊,Lị,li6
蜍,Thừ,t'ɯ2
蜎,Quyên,kwien1
蜣,Khương,xɯɤŋ1
蝆,Dạng,za:ŋ6
衙,Nha,ɲa:1
裏,Lí,li5
裔,Duệ,zwe6
裘,Cừu,kɯw2
裛,Ấp,ɤp7
裝,Trang,tʂa:ŋ1
裟,Sa,ʂa:1
裨,Bì,bi2
裨,Tì,ti2
裯,Chù,tʂu2
裰,Xuyết,swiet7
裱,Phiếu,fiew5
裸,Lõa,lwa:4
裼,Tích,tiʧ7
裾,Cư,kɯ1
褂,Quái,kwa:j5
褚,Trử,tʂɯ3
覜,Thiếu,t'iew5
觜,Tủy,twi3
觜,Tuy,twi1
解,Giải,ʑa:j3
觥,Quang,kwa:ŋ1
訾,Tí,ti5
詡,Hủ,hu3
詢,Tuân,twɤn1
詣,Nghệ,ŋe6
試,Thí,t'i5
詩,Thi,t'i1
詫,Sá,ʂa:5
詬,Cấu,kɤw5
詭,Quỷ,kwi3
詮,Thuyên,t'wien1
詰,Cật,kɤt8
話,Thoại,t'wa:j6
該,Cai,ka:j1
詳,Tường,tɯɤŋ2
詵,Sân,ʂɤn1
詹,Chiêm,tʂiem1
詼,Khôi,xoj1
詾,Hung,huŋ1
詿,Quái,kwa:j5
誄,Lụy,lwi6
誅,Tru,tʂu1
誆,Cuống,kuoŋ5
誇,Khoa,xwa:1
誕,Đản,da:n3
誠,Thành,t'a:ɲ2
豢,Hoạn,hwa:n6
貅,Hưu,hɯw1
貉,Hạc,ha:k8
貉,Hạc,ha:k8
貲,Ti,ti1
賂,Lộ,lo6
賃,Nhẫm,ɲɤm4
賄,Hối,hoj5
賅,Cai,ka:j1
資,Tư,tɯ1
賈,Cổ,ko3
賈,Giả,ʑa:3
賈,Giá,ʑa:5
賊,Tặc,tak8
赩,Hách,ha:ʧ7
趍,Xu,su1
趑,Tư,tɯ1
跟,Căn,kan1
跡,Tích,tiʧ7
跣,Tiển,tien3
跤,Giao,ʑa:w1
跦,Trù,tʂu2
跧,Thuyên,t'wien1
跨,Khóa,xwa:5
跪,Quỵ,kwi6
跫,Cung,kuŋ1
跬,Khuể,xwe3
路,Lộ,lo6
跰,Biền,bien2
跲,Cấp,kɤp7
跳,Khiêu,xiew1
躳,Cung,kuŋ1
軾,Thức,t'ɯk7
輀,Nhi,ɲi1
較,Giảo,ʑa:w3
輅,Lộ,lo6
輇,Thuyên,t'wien1
輈,Chu,tʂu1
載,Tái,ta:j5
載,Tải,ta:j3
輊,Chí,tʂi5
辟,Tịch,tiʧ8
辟,Bích,biʧ7
辟,Phích,fiʧ7
辠,Tội,toj6
農,Nông,noŋ1
遘,Cấu,kɤw5
遙,Dao,za:w1
遛,Lưu,lɯw1
遜,Tốn,ton5
遝,Đạp,da:p8
遞,Đệ,de6
遠,Viễn,vien4
遡,Tố,to5
遢,Tháp,t'a:p7
遣,Khiển,xien3
遨,Ngao,ŋa:w1
鄘,Dong,zɔŋ1
鄙,Bỉ,bi3
鄜,Phu,fu1
鄞,Ngân,ŋɤn1
鄠,Hộ,ho6
鄢,Yên,ien1
鄣,Chướng,tʂɯɤŋ5
酩,Mính,miɲ5
酪,Lạc,la:k8
酬,Thù,t'u2
鈴,Linh,liɲ1
鈸,Bạt,ba:t8
鈹,Phi,fi1
鈿,Điền,dien2
鉀,Giáp,ʑa:p7
鉆,Kiềm,kiem2
鉉,Huyễn,hwien4
鉋,Bào,ba:w2
鉏,Sừ,ʂɯ2
鉏,Trở,tʂɤ:3
鉗,Kiềm,kiem2
鉛,Duyên,zwien1
鉞,Việt,viet8
鉢,Bát,ba:t7
鉤,Câu,kɤw1
鉦,Chinh,tʂiɲ1
閘,Áp,a:p7
閟,Bí,bi5
際,Tế,te5
障,Chướng,tʂɯɤŋ5
雉,Trĩ,tʂi4
雊,Cẩu,kɤw3
雍,Ung,uŋ1
雎,Thư,t'ɯ1
零,Linh,liɲ1
雷,Lôi,loj1
雹,Bạc,ba:k8
電,Điện,dien6
靖,Tĩnh,tiɲ4
靳,Cận,kɤn6
靴,Ngoa,ŋwa:1
靶,Bá,ba:5
靷,Dẫn,zɤn4
頊,Húc,huk7
頌,Tụng,tuŋ6
頎,Kì,ki2
頏,Hàng,ha:ŋ2
頏,Kháng,xa:ŋ5
預,Dự,zɯ6
頑,Ngoan,ŋwa:n1
頒,Ban,ba:n1
頓,Đốn,don5
飴,Di,zi1
飼,Tự,tɯ6
飽,Bão,ba:w4
飾,Sức,ʂɯk7
馱,Đà,da:2
馱,Đạ,da:6
馳,Trì,tʂi2
馴,Thuần,t'wɤn2
骯,Khảng,xa:ŋ3
骰,Đầu,dɤw2
骱,Giới,ʑɤ:j5
髡,Khôn,xon1
髢,Thế,t'e5
魁,Khôi,xoj1
魂,Hồn,hon2
鳧,Phù,fu2
鳩,Cưu,kɯw1
麀,Ưu,ɯw1
麂,Kỉ,ki1
黽,Mẫn,mɤn4
黽,Mãnh,ma:ɲ4
鼓,Cổ,ko3
鼠,Thử,t'ɯ3
僊,Tiên,tien1
僎,Soạn,ʂwa:n6
僑,Kiều,kiew2
僕,Bộc,bok8
僖,Hi,hi1
僚,Liêu,liew1
僝,Sàn,ʂa:n2
僞,Ngụy,ŋwi6
僣,Thiết,t'iet7
僥,Nghiêu,ŋiew1
僦,Tựu,tɯw6
僧,Tăng,taŋ1
僨,Phẫn,fɤn4
僩,Giản,ʑa:n3
僬,Tiêu,tiew1
僭,Tiếm,tiem5
僮,Đồng,doŋ2
儆,Cảnh,ka:ɲ3
兢,Căng,kaŋ1
凘,Tư,tɯ1
凳,Đắng,daŋ5
劂,Quyết,kwiet7
劃,Hoạch,hwa:ʧ8
劄,Tráp,tʂa:p7
勩,Duệ,zwe6
匱,Quỹ,kwi4
厭,Yếm,iem5
厲,Lệ,le6
嗽,Thấu,t'ɤw5
嗾,Thốc,t'ot7
嘆,Thán,t'a:n5
嘈,Tào,ta:w2
嘉,Gia,ʑa:1
嘍,Lâu,lɤw1
嘏,Hỗ,ho4
嘐,Hao,ha:w1
嘐,Hao,ha:w1
嘑,Hô,ho1
嘒,Uế,we5
嘓,Quắc,kwak7
嘔,Ẩu,ɤw3
嘖,Sách,ʂa:ʧ7
嘖,Trách,tʂa:ʧ7
嘗,Thường,t'ɯɤŋ2
嘛,Ma,ma:1
噉,Đạm,da:m6
圖,Đồ,do2
團,Đoàn,dwa:n2
塵,Trần,tʂɤn2
塹,Tiệm,tiem6
塾,Thục,t'uk8
塿,Lũ,lu4
墁,Mạn,ma:n6
境,Cảnh,ka:ɲ3
墅,Thự,t'ɯ6
墉,Dong,zɔŋ1
墊,Điếm,diem5
墐,Cận,kɤn6
墜,Trụy,tʂwi6
墮,Huy,hwi1
墮,Đọa,dwa:6
壽,Thọ,t'ɔ6
夤,Dần,zɤn2
夥,Khỏa,xwa:3
奧,Áo,a:w5
奪,Đoạt,dwa:t8
嫖,Phiêu,fiew1
嫗,Ủ,u3
嫚,Mạn,ma:n6
嫠,Li,li1
嫡,Đích,diʧ7
嫣,Yên,ien1
嫩,Nộn,non6
孵,Phu,fu1
察,Sát,ʂa:t7
寡,Quả,qwa:3
寢,Tẩm,tɤm3
寤,Ngụ,ŋu6
寥,Liêu,liew1
實,Thật,t'ɤt8
寧,Ninh,niɲ1
寨,Trại,tʂa:j6
寬,Khoan,xwa:n1
對,Đối,doj5
屢,Lũ,lu4
屣,Tỉ,ti3
嶁,Lũ,lu4
嶂,Chướng,tʂɯɤŋ5
嶄,Tiệm,tiem6
嶇,Khu,xu1
幔,Mạn,ma:n6
幗,Quắc,kwak7
幘,Trách,tʂa:ʧ7
幣,Tệ,te6
廏,Cứu,kɯw5
廑,Cận,kɤn6
廖,Liệu,liew6
廣,Quảng,kwa:ŋ3
弊,Tệ,te6
彄,Khu,xu1
彯,Phiêu,fiew1
彰,Chương,tʂɯɤŋ1
愨,Khác,xa:k7
愬,Tố,to5
愬,Sách,ʂa:ʧ7
愿,Nguyện,ŋwien6
慁,Hỗn,hon4
慂,Dũng,zuŋ4
慇,Ân,ɤn1
態,Thái,t'a:j5
慕,Mộ,mo6
慘,Thảm,t'a:m3
慚,Tàm,ta:m2
慝,Thắc,t'ak7
慞,Chương,tʂɯɤŋ1
慟,Đỗng,doŋ4
慢,Mạn,ma:n6
慣,Quán,kwa:n5
慳,Khan,xa:n1
慴,Điệp,diep8
慵,Dung,zuŋ1
慷,Khảng,xa:ŋ3
憁,Tổng,toŋ3
戩,Tiển,tien3
搴,Khiên,xien1
摑,Quặc,kwak8
摑,Quách,kwa:ʧ7
摘,Trích,tʂiʧ7
摜,Quán,kwa:n5
摟,Lâu,lɤw1
摠,Tổng,toŋ3
摧,Tồi,toj2
摭,Trích,tʂiʧ7
摳,Khu,xu1
摴,Sư,ʂɯ1
摶,Đoàn,dwa:n2
摶,Chuyên,tʂwien1
摺,Triệp,tʂiep8
摽,Phiêu,fiew1
摽,Phiếu,fiew5
撇,Phiết,fiet7
撇,Phiết,fiet7
撦,Xả,sa:3
敲,Xao,sa:w1
斠,Các,ka:k7
斡,Oát,wa:t7
斲,Trác,tʂa:k7
旖,Y,i1
旗,Kì,ki2
暝,Minh,miɲ1
暝,Mính,miɲ5
暢,Sướng,ʂɯɤŋ5
曄,Diệp,ziep8
朅,Khiết,xiep7
榎,Giả,ʑa:3
榑,Phù,fu2
榖,Cốc,kok7
榛,Trăn,tʂan1
榜,Bảng,ba:ŋ3
榤,Kiệt,kiet8
榦,Cán,ka:n5
榧,Phỉ,fi3
榨,Trá,tʂa5
榭,Tạ,ta:6
榮,Vinh,viɲ1
榱,Suy,ʂwi1
榲,Ốt,ot7
榴,Lưu,lɯw1
榷,Giác,ʑa:k7
榻,Tháp,t'a:p7
榼,Khạp,xa:p8
槀,Cảo,ka:w3
槁,Cảo,ka:w3
槃,Bàn,ba:n2
槅,Cách,ka:ʧ7
槊,Sóc,ʂɔk7
構,Cấu,kɤw5
槍,Thương,t'ɯɤŋ1
槍,Sanh,ʂa:ɲ1
槙,Điên,dien1
槨,Quách,kwa:ʧ7
槩,Khái,xa:j5
槭,Túc,tuk7
模,Mô,mo1
樺,Hoa,hwa:1
歉,Khiểm,xiem3
歰,Sáp,ʂa:p7
殞,Vẫn,vɤn4
毓,Dục,zuk8
氳,Uân,wɤn1
滎,Huỳnh,hwiɲ2
滫,Tưu,tɯw1
滬,Hỗ,ho4
滯,Trệ,tʂe6
滲,Sấm,ʂɤm5
滴,Đích,diʧ7
滷,Lỗ,lo4
滸,Hử,hu3
滹,Hô,ho1
滿,Mãn,ma:n4
漁,Ngư,ŋɯ1
漂,Phiêu,fiew1
漂,Phiếu,fiew5
漆,Tất,tɤt7
漉,Lộc,lok8
漊,Lâu,lɤw1
漏,Lậu,lɤw6
演,Diễn,zien4
漕,Tào,ta:w2
漘,Thần,t'ɤn2
漙,Đoàn,dwa:n2
漚,Âu,ɤw1
漚,Ẩu,ɤw3
漢,Hán,ha:n5
漩,Tuyền,twien2
漪,Y,i1
漫,Mạn,ma:n6
漬,Tí,ti5
漯,Tháp,t'a:p7
漱,Sấu,ʂɤw5
漲,Trướng,tʂɯɤŋ5
漲,Trướng,tʂɯɤŋ5
漳,Chương,tʂɯɤŋ1
漵,Tự,tɯ6
漶,Hoán,hwa:n5
漸,Tiêm,tiem1
漸,Tiệm,tiem6
漾,Dạng,za:ŋ6
潢,Hoàng,hwan:ŋ2
煼,Sao,ʂa:w1
煽,Phiến,fien5
熄,Tức,tɯk7
熇,Hốc,hok7
熊,Hùng,huŋ2
熏,Huân,hwɤn1
熒,Huỳnh,hwiɲ2
熙,Hi,hi1
熬,Ngao,ŋa:w1
燁,Diệp,ziep8
爾,Nhĩ,ɲi4
牓,Bảng,ba:ŋ3
犒,Khao,xa:w1
犖,Lạc,la:k8
獃,Ngai,ŋa:j1
獄,Ngục,ŋuk8
獍,Kính,kiɲ5
獐,Chương,tʂɯɤŋ1
瑣,Tỏa,twa:3
瑤,Dao,za:w1
瑱,Chấn,tʂɤn5
瑱,Thiến,t'ien5
瑲,Thương,t'ɯɤŋ1
璃,Li,li1
璉,Liễn,lien4
甍,Manh,ma:ɲ1
畽,Thoản,t'wa:n3
疐,Chí,tʂi5
疑,Nghi,ŋi1
瘉,Dũ,zu4
瘊,Hầu,hɤw2
瘌,Lạt,la:t8
瘍,Dương,zɯɤŋ1
瘓,Hoán,hwa:n5
瘕,Hà,ha:2
瘖,Âm,ɤm1
瘗,Ế,e5
瘥,Ta,ta:1
瘦,Sấu,ʂɤw5
瘧,Ngược,ŋɯɤk8
瘩,Đáp,da:p7
皸,Quân,kwɤn1
盡,Tận,tɤn6
監,Giam,ʑa:m1
監,Giám,ʑa:m5
睺,Hầu,hɤw2
睽,Khuê,xwe1
睿,Duệ,zwe6
瞀,Mậu,mɤw6
瞍,Tẩu,tɤw3
碞,Nham,ɲa:m1
碡,Độc,dok8
碣,Kiệt,kiet8
碧,Bích,biʧ7
碩,Thạc,t'a:k8
碪,Châm,tʂɤm1
碭,Nãng,na:ŋ4
碯,Não,na:w4
磁,Từ,tɯ2
磋,Tha,t'a:1
禡,Mã,ma:4
稭,Giai,ʑa:j1
稭,Kiết,kiet7
種,Chủng,tʂuŋ3
種,Chúng,tʂuŋ5
稱,Xưng,sɯŋ1
稱,Xứng,sɯŋ5
窨,Ấm,ɤm5
窪,Oa,wa:1
窬,Du,zu1
竭,Kiệt,kiet8
箇,Cá,ka:5
箋,Tiên,tien1
箍,Cô,ko1
箎,Trì,tʂi2
箏,Tranh,tʂa:ɲ1
箑,Tiệp,tiep8
箔,Bạc,ba:k8
箕,Ki,ki1
算,Toán,twa:n5
箜,Không,koŋ1
箝,Kiềm,kiem2
箠,Chủy,tʂwi3
管,Quản,kwa:n3
箬,Nhược,ɲɯɤk8
箸,Trứ,tʂɯ5
箸,Trợ,tʂɤ:6
粹,Túy,twi5
粺,Bại,ba:j6
粽,Tống,toŋ5
精,Tinh,tiɲ1
綜,Tống,toŋ5
